facility_name,category2,latitude,longitude,land_lot_address,phone_number,operating_hours
뚝섬한강공원,공원,37.5278619,127.073807,서울특별시 광진구 자양동 435,02-3780-0521,00:00-24:00
뚝섬한강공원뚝섬눈썰매장,대형레저시설,37.5297972,127.067887,서울특별시 광진구 자양동 112,02-3780-0847,기간별 상이
뚝섬한강공원전망문화콤플렉스,영화/연극/공연,37.53087732,127.065983,서울특별시 광진구 자양동 97-5,02-3780-0517,평일 및 주말 10:00-21:00
뜻밖의극장,영화/연극/공연,37.59228802,127.018008,서울특별시 성북구 동선동1가 85-79,02-921-5080,정보없음
띠아트,영화/연극/공연,37.55280429,126.922691,서울특별시 마포구 서교동 358-121,0507-1354-9894,매일 11:00-20:00
라디오가가,영화/연극/공연,37.55230423,126.913832,서울특별시 마포구 서교동 384-12,02-335-1251,10:00-22:00
라메르갤러리,전시/기념관,37.57258198,126.984868,서울특별시 종로구 관훈동 198-1,0507-1361-5454,"화요일 10:30-12:00, 수-월 10:30-18:00"
라온아트홀,영화/연극/공연,37.58185298,127.002805,서울특별시 종로구 동숭동 1-61,0507-1366-4076,11:00-20:00
라움아트센터,영화/연극/공연,37.50839127,127.039775,서울특별시 강남구 역삼동 680-1,02-538-3366,매일 09:00-21:00
라율아트홀,영화/연극/공연,37.48244524,127.012615,서울특별시 서초구 서초동 1451-38,02-522-7278,10:00-18:00
라트어린이극장,영화/연극/공연,37.48428837,127.042315,서울특별시 강남구 도곡동 514-2,02-560-0999,10:00-17:00
래미안갤러리,전시/기념관,37.47925202,127.120139,서울특별시 송파구 문정동 623,1588-3588,10:00-18:00
럭키골프클럽,대형체육시설,37.63831832,127.028655,서울특별시 강북구 번동 417-106,02-998-4888,매일06:00-22:00
레드빅스페이스,영화/연극/공연,37.55213295,126.919458,서울특별시 마포구 서교동 372-9,02-323-8544,24시간 운영
레드힐골프스튜디오,대형체육시설,37.48737263,127.00459,서울특별시 서초구 서초동 1507-20,0507-1346-8587,매일 10:00-22:00
레인지엑스,대형체육시설,37.55385711,127.143944,서울특별시 강동구 명일동 306-1,02-426-7707,"월-금 06:30-23:00,토-일 09:00-21:00"
레인지엑스반포,대형체육시설,37.50105393,127.011633,서울특별시 서초구 반포동 51-5,02-595-8114,06:30-22:30
레인지엑스삼성,대형체육시설,37.5078269,127.061059,서울특별시 강남구 대치동 945,02-553-1872,"평일 06:30-22:30,주말 09:00-19:00"
렘넌트문화센터,영화/연극/공연,37.55797384,126.849189,서울특별시 강서구 등촌동 659,02-3661-2000,정보없음
로봇과학관(2023년1월예정),전시/기념관,37.65552277,127.048958,서울특별시 도봉구 창동 1-7,,정보없음
로봇스토리,전시/기념관,37.51896944,126.933291,서울특별시 영등포구 여의도동 53-1,02-792-4400,정보없음
로얄아트앤뮤직코리아,영화/연극/공연,37.48689948,127.015459,서울특별시 서초구 서초동 1623-12,02-532-1725,08:00-23:00
로얄크루져,대형레저시설,37.53481462,126.911584,서울특별시 영등포구 여의도동 81-8,0507-1408-5243,"평일 11:00-06:30,"
로운아뜨리움,영화/연극/공연,37.52707541,126.870746,서울특별시 양천구 목동 923-6,02-2061-9500,매일 09:30-19:00
로운아트홀,영화/연극/공연,37.52707541,126.870746,서울특별시 양천구 목동 923-6,02-2061-2600,9:00-19:00
로즈아트홀,영화/연극/공연,37.61638248,127.063266,서울특별시 노원구 월계동 68-25,02-9876-5689,00:00-24:00
록갤러리,전시/기념관,37.57320793,126.986576,서울특별시 종로구 인사동 11,02-738-2398,11:00-17:00
롤러팩토리,영화/연극/공연,37.53488435,126.903081,서울특별시 영등포구 당산동6가 296,070-8805-4613,정보없음
롤링뮤지엄,전시/기념관,37.53731405,126.978466,서울특별시 용산구 용산동1가 8,02-709-3200,10:00-18:00
롤링스톤즈,영화/연극/공연,37.55636159,126.932677,서울특별시 마포구 동교동 185-1,02-332-9439,정보없음
롤링홀,영화/연극/공연,37.54849752,126.920121,서울특별시 마포구 서교동 402-22,02-325-6071,매일 12:00-22:00
롯데백화점본점샤롯데홀,영화/연극/공연,37.5647299,126.98173,서울특별시 중구 소공동 1,,매일11:00-20:00
롯데월드,관광지,37.51130961,127.098142,서울특별시 송파구 잠실동 40-1,1661-2000,10:00-22:00
롯데월드몰롯데월드아쿠아리움,관광지,37.51375196,127.104447,서울특별시 송파구 신천동 29,1661-2000,10:00-22:00
롯데월드민속박물관,전시/기념관,37.51130961,127.098142,서울특별시 송파구 잠실동 40-1,1661-2000,주중11:00-19:00 주말및공휴일11:00-20:00
롯데월드민속박물관놀이마당,영화/연극/공연,37.51130961,127.098142,서울특별시 송파구 잠실동 40-1,02-411-2000,"주중: 11 : 00am 19 : 00pm,입장 및 매표 마감시간 18:30,주말 및 공휴일,11 : 00am 20 : 00pm,입장 및 매표 마감시간 19:00"
롯데월드샤롯데씨어터,영화/연극/공연,37.51130961,127.098142,서울특별시 송파구 잠실동 40-1,1644-0078,정보없음
롯데월드언더씨킹덤,관광지,37.63753667,126.9179,서울특별시 은평구 진관동 63,,정보없음
롯데콘서트홀,영화/연극/공연,37.51375196,127.104447,서울특별시 송파구 신천동 29,1544-7744,정보없음
루벤,전시/기념관,37.57286526,126.985653,서울특별시 종로구 인사동 186,02-738-0321,매주 금요일은 작가 재량
루츠알레씨스토어,영화/연극/공연,37.52556298,127.048174,서울특별시 강남구 청담동 117-38,02-2064-3373,11:00-20:00
룸어씨어터,영화/연극/공연,37.58229402,127.002561,서울특별시 종로구 동숭동 1-58,,화-일 13:00-20:00
뤼미에르,전시/기념관,37.57177712,126.970538,서울특별시 종로구 신문로2가 1-116,02-517-2134,10:00-19:00
르메이에르씨어터,영화/연극/공연,37.58075445,127.004174,서울특별시 종로구 동숭동 1-145,02-747-2232,정보없음
리더스VSE골프,대형체육시설,37.46575802,127.101226,서울특별시 강남구 세곡동 581,02-451-0708,"평일 07:00-23:00,주말 09:00-19:00"
리디안뮤직,영화/연극/공연,37.55442013,126.930351,서울특별시 마포구 창전동 5-73,070-8223-9945,"평일,일요일 10:00-22:30,목,금,토요일 10:00-22:30"
리쉬이야기,전시/기념관,37.51644895,127.01688,서울특별시 서초구 잠원동 10-28,02-3448-1110,"평일,09:30-18:00"
리즈아뜰리에,영화/연극/공연,37.55251545,126.873542,서울특별시 강서구 염창동 298,070-4671-7748,매일 10:30-20:30
리코디아아트홀,영화/연극/공연,37.5095633,127.018618,서울특별시 서초구 반포동 703-12,02-582-8715,정보없음
리홀아트갤러리,전시/기념관,37.59456901,126.990966,서울특별시 성북구 성북동 279-2,02-336-6877,12:00-18:00
마노갤러리,전시/기념관,37.58518552,126.985437,서울특별시 종로구 가회동 1-71,02-514-8888,11:00-18:00
마당세실극장,영화/연극/공연,37.5786826,127.004642,서울특별시 종로구 동숭동 192-18,02-742-8836,00:00-24:00
마들근린공원노원마들스타디움,대형체육시설,37.64438255,127.059922,서울특별시 노원구 상계동 770-2,02-2289-6855,06:00-22:00
마로니에다목적홀,영화/연극/공연,37.580334,127.002515,서울특별시 종로구 동숭동 1-124,,정보없음
마로니에야외공연장,영화/연극/공연,37.580334,127.002515,서울특별시 종로구 동숭동 1-124,,정보없음
마루아트홀,영화/연극/공연,37.58229402,127.002561,서울특별시 종로구 동숭동 1-58,070-4618-5753,정보없음
마리아칼라스홀,영화/연극/공연,37.50249514,127.066034,서울특별시 강남구 대치동 983-10,02-558-4588,정보없음
마스크오브미라클,대형체육시설,37.57105683,127.075114,서울특별시 동대문구 장안동 336,,06:00-00:00
마을예술창작소닷라인TV,전시/기념관,37.58502422,126.939126,서울특별시 서대문구 홍제동 356-102,070-4312-9098,평일 09:00-18:00
마인드디자인,전시/기념관,37.52481818,127.047811,서울특별시 강남구 청담동 119-9,02-2231-2011,정보없음
마포구_1711-01서울유아숲체험장,관광지,37.5795486,126.883109,서울특별시 마포구 상암동 1761,02-3153-9553,상시개방
마포아트센터아트홀맥,영화/연극/공연,37.54990609,126.945534,서울특별시 마포구 대흥동 30-3,02-3274-8600,정보없음
마포아트센터플레이맥,영화/연극/공연,37.54990609,126.945534,서울특별시 마포구 대흥동 30-3,02-3274-8600,정보없음
만들기체험학습장,전시/기념관,37.53707416,126.828182,서울특별시 양천구 신월동 51-2,02-2698-3829,10:00-18:00
만리동예술인주택,영화/연극/공연,37.55419456,126.962088,서울특별시 중구 만리동2가 218-105,02-3147-1206,09:00-1800
만물전시관,전시/기념관,37.54281953,126.991122,서울특별시 용산구 이태원동 260-17,02-795-9625,정보없음
만천곤충,전시/기념관,37.52026381,126.901353,서울특별시 영등포구 영등포동4가 151-2,02-2675-8724,매일10:00-18:00
맑은샘아트홀,영화/연극/공연,37.50536204,126.889371,서울특별시 구로구 구로동 8-16,,24시간 운영
맛있는극장,영화/연극/공연,37.58624869,127.00075,서울특별시 종로구 혜화동 109-4,0507-1349-1084,매일 10:00-20:00
망원한강공원,공원,37.55166181,126.911756,서울특별시 마포구 합정동,02-3780-0601,00:00-24:00
매듭박물관(동림매듭공방),전시/기념관,37.58178357,126.985613,서울특별시 종로구 가회동 11-7,02-3673-2778,10:00-18:00
메가쇼,전시/기념관,37.50948867,127.056065,서울특별시 강남구 삼성동 156-13,02-6677-3477,정보없음
메디컬코리아,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,070-4710-2991,정보없음
메리홀소극장,영화/연극/공연,37.55146931,126.943025,서울특별시 마포구 신수동 1-1,02-705-8743,10:00-22:00
메쎄E앤D,전시/기념관,37.55277886,127.076787,서울특별시 광진구 군자동 243,02-515-4885,정보없음
메종드라뮤지끄,영화/연극/공연,37.48360599,127.059738,서울특별시 강남구 개포동 168-11,02-3462-4982,정보없음
명동난타극장,영화/연극/공연,37.56345745,126.983765,서울특별시 중구 명동2가 50-14,02-739-8288,공연일정확인
명동성당꼬스트홀,영화/연극/공연,37.56367587,126.986776,서울특별시 중구 명동2가 1-1,02-778-6295,09:00-19:00
명동성당문화관,전시/기념관,37.56367587,126.986776,서울특별시 중구 명동2가 1-1,02-774-1784,09:00-19:00
명동예술극장,영화/연극/공연,37.56404145,126.984202,서울특별시 중구 명동1가 54,1644-2003,정보없음
명인박물관,전시/기념관,37.58016659,126.985186,서울특별시 종로구 가회동 208-7,02-766-0272,10:00-18:00
명인의전당,전시/기념관,37.47771881,127.009818,서울특별시 서초구 서초동 740-4,02-580-3300,"09:00-18:00, 공연이 있는 날은 21:00까지 연장 운영"
명일공원서울유아숲체험현장,관광지,37.54925832,127.164574,서울특별시 강동구 상일동 산 26-1,02-3425-6444,상시개방
명작극장,영화/연극/공연,37.58229402,127.002561,서울특별시 종로구 동숭동 1-58,02-747-9988,정보없음
모던아트그룹,전시/기념관,37.60317462,126.927508,서울특별시 은평구 녹번동 83-54,02-391-0685,9:00-18:00
모스틀리필하모닉오케스트라,영화/연극/공연,37.53485709,127.000269,서울특별시 용산구 한남동 685-46,02-3285-8808,정보없음
모차르트홀,영화/연극/공연,37.48641666,127.004525,서울특별시 서초구 서초동 1515-3,02-3472-8222,정보없음
목금토갤러리,전시/기념관,37.58227606,127.003645,서울특별시 종로구 동숭동 1-80,02-764-0700,"10:00-18:00, 공휴일 12:00-18:00"
목동종합운동장,대형체육시설,37.53072795,126.879233,서울특별시 양천구 목동 914,02-2640-3848,"하절기(4-9월) : 조기 05:00-08:00, 주간 08:00-19:00, 야간 19:00-05:00 동절기(10-3월) : 조기 06:00-09:00, 주간 09:00-18:00, 야간 18:00-06:00"
목동종합운동장목동야구장,대형체육시설,37.53072795,126.879233,서울특별시 양천구 목동 914,02-2640-3808,"하절기(4-9월) : 조기 05:00-08:00, 주간 08:00-19:00, 야간 19:00-05:00 동절기(10-3월) : 조기 06:00-09:00, 주간 09:00-18:00, 야간 18:00-06:00"
몬스터스쿨,영화/연극/공연,37.58153326,127.004302,서울특별시 종로구 동숭동 50-44,0507-1305-3249,공연에따라
몬스터코리아오피셜,전시/기념관,37.51464285,127.02721,서울특별시 강남구 논현동 39-1,,정보없음
몸과마음연구원,영화/연극/공연,37.53728425,126.964406,서울특별시 용산구 원효로2가 8-35,050-2110-0114,정보없음
몽유도원도전시관,전시/기념관,37.59161102,126.963343,서울특별시 종로구 부암동 328-2,02-379-7131,9:00-18:00
몽촌토성몽촌역사관,전시/기념관,37.5203397,127.115518,서울특별시 송파구 방이동 88,02-2152-5900,09:00-18:00
무중력지대,영화/연극/공연,37.59735327,127.015043,서울특별시 성북구 동선동5가 147-10,070-4042-2018,"평일 10:00-22:00,토요일 12:00-19:00"
무중력지대,영화/연극/공연,37.53470865,126.902088,서울특별시 영등포구 당산동6가 305-4,02-2671-2225,10:00-22:00
무중력지대무악재,전시/기념관,37.5824248,126.950579,서울특별시 서대문구 홍제동 26-1,02-6385-0009,"평일 10-21, 토요일 11-17"
묵전서예,영화/연극/공연,37.62089857,127.080865,서울특별시 노원구 공릉동 270-25,,13:00-20:30
문래예술공장,영화/연극/공연,37.51321703,126.900126,서울특별시 영등포구 문래동1가 30,02-2676-4300,정보없음
문래예술종합지원센터,영화/연극/공연,37.51301035,126.894145,서울특별시 영등포구 문래동2가 20-2,02-2634-2220,"11:00-20:00,토 11:00-18:00"
문학의집서울,영화/연극/공연,37.55836557,126.989372,서울특별시 중구 예장동 2-20,02-778-1026,월-토 10시-17시까지
문화공간아이원,영화/연극/공연,37.4488043,126.902416,서울특별시 금천구 시흥동 987-12,02-3286-0077,10:00-19:00
문화공간이육사,전시/기념관,37.59813809,127.032602,서울특별시 성북구 종암동 65-13,02-928-0264,10:00-18:00
문화비축기지,관광지,37.57034669,126.895031,서울특별시 마포구 성산동 670,02-376-8410,10:00-18:00
문화연구원소금향,영화/연극/공연,37.55501987,126.967199,서울특별시 중구 만리동1가 62-7,0507-1311-7420,월-금 09:00-18:00
문화예술공원유아숲체험장,관광지,37.46988402,127.032022,서울특별시 서초구 양재동 200,02-2155-6863,매일09:00-18:00
문화일보홀,영화/연극/공연,37.56712921,126.968645,서울특별시 중구 충정로1가 68,02-3701-5832,정보없음
문화정원아트홀,영화/연극/공연,37.4718013,126.896009,서울특별시 금천구 독산동 296-9,02-839-1155,00:00-24:00
물빛극장,영화/연극/공연,37.58030622,127.003529,서울특별시 종로구 동숭동 1-133,02-6404-5005,정보없음
뭐든지소극장,영화/연극/공연,37.57669052,127.01001,서울특별시 종로구 창신동 630-1,0504-1380-2462,09:00-22:00
뮤지스땅스,영화/연극/공연,37.55488999,126.957692,서울특별시 마포구 아현동 735-1,02-313-7865,정보없음
뮤지엄김치간,전시/기념관,37.57341354,126.985059,서울특별시 종로구 관훈동 196-10,02-6002-6456,화요일-일요일 10:00-18:00 (마지막 입장 17:30)
뮤지엄스쿨,관광지,37.49865828,127.03295,서울특별시 강남구 역삼동 823-26,0507-1334-3239,정보없음
뮤지컬하우스호연재,영화/연극/공연,37.55263918,127.008474,서울특별시 중구 신당동 353-8,02-2234-3687,공연일정
뮤직쇼웨딩전용관,영화/연극/공연,37.55319621,126.921175,서울특별시 마포구 서교동 357-5,02-739-8288,정보없음
뮤팩,영화/연극/공연,37.56496903,127.035915,서울특별시 성동구 홍익동 133,,24시간 영업
미당서정주의집,전시/기념관,37.47344652,126.9734,서울특별시 관악구 남현동 1071-11,02-879-5609,화-일 10:00-18:00 (동절기 1-2월 10:00-17:00)
미디액트,영화/연극/공연,37.55446945,126.931024,서울특별시 마포구 창전동 5-5,02-3141-6300,"평일 10:00-22:30,주말 10:00-18:30"
미래전람,전시/기념관,37.52079083,126.926912,서울특별시 영등포구 여의도동 36-2,02-2238-0345,10:00-18:00
미송아트홀,영화/연극/공연,37.5837539,126.99742,서울특별시 종로구 명륜3가 127,0507-1330-5791,매일10:00-23:00
미술문화,전시/기념관,37.57209731,126.985392,서울특별시 종로구 인사동 194-4,02-720-4646,"평일: 10:00-18:30, 주말: 10:30-18:00"
미아리예술극장,영화/연극/공연,37.5977556,127.021265,서울특별시 성북구 돈암동 641-1,02-6956-9045,정보없음
미즈메디문화센터,영화/연극/공연,37.55248441,126.835412,서울특별시 강서구 내발산동 700-14,1588-2701,08:30-17:30
민속극장풍류,영화/연극/공연,37.51009307,127.044625,서울특별시 강남구 삼성동 112-2,02-3011-2178,정보없음
민주인권기념관,전시/기념관,37.54094595,126.971538,서울특별시 용산구 갈월동 98-8,031-361-9574,정보없음
밀물아트센타,전시/기념관,37.47366813,127.052932,서울특별시 강남구 개포동 1166,02-578-6810,정보없음
밀알미술관,전시/기념관,37.48578186,127.082072,서울특별시 강남구 일원동 713,02-3412-0061,09:30-17:00
바라아트홀,영화/연극/공연,37.52369998,127.026511,서울특별시 강남구 신사동 569-2,02-3445-0153,정보없음
바라캇서울,영화/연극/공연,37.58086403,126.980654,서울특별시 종로구 소격동 55,02-730-1949,"화-일요일, 10:00-18:00"
바로크챔버홀,영화/연극/공연,37.48173214,127.014511,서울특별시 서초구 서초동 1450-2,02-3473-2500,정보없음
바이오코리아,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,1661-0810,9:00-18:00
박노수미술관,전시/기념관,37.5813192,126.966819,서울특별시 종로구 옥인동 168-2,02-2148-4171,10:00-18:00
박물관은살아있다,전시/기념관,37.57189615,126.987231,서울특별시 종로구 인사동 43,02-2034-0600,매일11:00-18:00(입장마감 17:00)
박여숙화랑,전시/기념관,37.54409716,126.990253,서울특별시 용산구 이태원동 262-23,0507-1445-7575,10:00-18:00
박을복자수박물관,전시/기념관,37.65381553,127.008489,서울특별시 강북구 우이동 86-4,02-990-7000,월-금 12:00-17:00
반딧불이유아숲체험장,관광지,37.64915283,127.040085,서울특별시 도봉구 창동 677,02-2091-3756,상시개방
반얀트리클럽앤스파서울눈썰매장,대형레저시설,37.55007101,127.000497,서울특별시 중구 장충동2가 201,02-2250-8000,매일 11:00-18:00
반줄,영화/연극/공연,37.56906835,126.986184,서울특별시 종로구 관철동 12-16,02-735-5437,"평일 11:30-22:20, 토 12:30-22:20, 일 13:30-21:20"
반포공설운동장,대형체육시설,37.50053764,126.994264,서울특별시 서초구 반포동 15-2,02-2155-8711,"평일 06:00-22:00 ,주말 06:00-22:00"
반포한강공원,공원,37.513114,127.001705,서울특별시 서초구 잠원동 122-1,02-591-5943,24시간
밤섬생태체험관,전시/기념관,37.53254326,126.931788,서울특별시 영등포구 여의도동 84-6,,10:00-17:00
방배공원서울유아숲체험현장,관광지,37.47817159,126.99478,서울특별시 서초구 방배동 산 44,02-2155-6114,정보없음
방이동생태학습관,전시/기념관,37.51213193,127.140302,서울특별시 송파구 방이동 443-15,02-2147-3380,금 오후 2시-3시 30분
배명야구장,대형체육시설,37.49865269,127.097556,서울특별시 송파구 석촌동 220,02-414-5820,문의
배봉산공원서울유아숲체험현장,관광지,37.58404643,127.065311,서울특별시 동대문구 휘경동 43-54,02-2127-4772,상시개방
배봉산유아숲체험장,관광지,37.5875347,127.066793,서울특별시 동대문구 휘경동 산 6-35,02-2127-4772,상시개방
배재학당역사박물관,전시/기념관,37.56378783,126.972089,서울특별시 중구 정동 34-5,02-319-5578,오전 10시-오후5시
백련공원,공원,37.58691863,126.927452,서울특별시 서대문구 홍은동 산 11-2,02-330-1395,00:00-24:00
백련산매바위유아숲체험장,관광지,37.5841633,126.930589,서울특별시 서대문구 홍은동 산 19-19,02-330-1776,정보없음
백석콘서바토리,영화/연극/공연,37.48075395,126.996678,서울특별시 서초구 방배동 981-10,02-520-0690,정보없음
백성희장민호극장,영화/연극/공연,37.55314654,126.968279,서울특별시 용산구 서계동 1,1644-2003,정보없음
백송화랑,전시/기념관,37.573304,126.985298,서울특별시 종로구 관훈동 197-9,02-730-5824,매일 10:30-19:00
백악미술관,전시/기념관,37.57363884,126.984139,서울특별시 종로구 관훈동 192-21,02-734-4205,"10:00-18:00, 수요일 10:00-15:00"
백암아트홀,전시/기념관,37.51067112,127.065879,서울특별시 강남구 삼성동 170-5,02-559-1333,정보없음
백제예술대학아트센터,영화/연극/공연,37.51067112,127.065879,서울특별시 강남구 삼성동 170-5,02-559-1333,정보없음
백지장지하창고,영화/연극/공연,37.49500529,126.893739,서울특별시 구로구 구로동 73-10,,00:00-24:00
베리컴퍼니1관,영화/연극/공연,37.58232369,127.004776,서울특별시 종로구 동숭동 25-25,02-3674-2525,공연일정확인
베이커리페어,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,02-6000-1422,정보없음
베짱이유아숲체험장,관광지,37.46736547,126.909969,서울특별시 금천구 독산동 산 199-1,02-2627-1655,정보없음
베짱이홀,영화/연극/공연,37.54846765,126.921536,서울특별시 마포구 상수동 313-3,02-322-4241,정보없음
베토벤하우스,영화/연극/공연,37.48600572,127.010108,서울특별시 서초구 서초동 1536-6,02-584-0845,정보없음
베페,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,02-556-2236,2023년 2월 9일(목)-12일(일) 10:00-18:00
벤처,전시/기념관,37.52830994,126.91967,서울특별시 영등포구 여의도동 15-14,,정보없음
변종하기념미술관,전시/기념관,37.59824682,126.985995,서울특별시 성북구 성북동 330-484,02-764-2591,10:00-15:00
보나장신구박물관,전시/기념관,37.57367857,126.984735,서울특별시 종로구 관훈동 192-11,02-732-6621,10:30-18:30
보라매공원,공원,37.4938686,126.921806,서울특별시 동작구 신대방동 722,02-2181-1190,00:00-24:00
보라매안전체험관,전시/기념관,37.49277134,126.917025,서울특별시 동작구 신대방동 722,02-2027-4100,9:00-17:00
보원요,영화/연극/공연,37.57426477,126.984877,서울특별시 종로구 관훈동 38,,정보없음
복합문화공간몽향,영화/연극/공연,37.55652399,126.934996,서울특별시 서대문구 창천동 62-11,0507-1327-7580,"매일,00:00-24:00"
본다빈치,전시/기념관,37.51660215,127.065741,서울특별시 강남구 삼성동 100-6,02-540-0329,오전 10시-오후 8시
봄날아트홀,영화/연극/공연,37.57999004,127.004253,서울특별시 종로구 동숭동 1-153,0507-1303-7883,수-월 13:00-22:00
봄스크린,대형체육시설,37.48570578,126.895513,서울특별시 구로구 구로동 191-7,0507-1356-7896,07:00-24:00
봉제역사관이음피움,전시/기념관,37.57481417,127.010374,서울특별시 종로구 창신동 647-50,02-747-6471,"전시: 화-일 10:00-18:00, 체험: 화-일 10:30-17:00"
봉화산옹기테마공원,관광지,37.61265372,127.088519,서울특별시 중랑구 신내동 777,,정보없음
봉화산유아숲체험장,관광지,37.61513774,127.085097,서울특별시 중랑구 묵동 23-1,02-2094-2385,상시개방
부띠크모나코뮤지엄,전시/기념관,37.49743406,127.024517,서울특별시 서초구 서초동 1316-5,02-535-5844,정보없음
북극곰소극장,영화/연극/공연,37.57738079,127.005733,서울특별시 종로구 이화동 28-18,,정보없음
북서울꿈의숲,공원,37.62025446,127.044325,서울특별시 강북구 번동 90,02-2289-4000,00:00-24:00
북아현아트홀,영화/연극/공연,37.56183981,126.955438,서울특별시 서대문구 북아현동 1012-2,02-360-8667,09:00-18:00
북촌나래홀,영화/연극/공연,37.57886034,126.988435,서울특별시 종로구 원서동 174,02-988-2258,정보없음
북촌동양문화박물관,전시/기념관,37.58399035,126.98337,서울특별시 종로구 삼청동 35-35,02-723-0190,10:30-19:00
북촌문화센터,영화/연극/공연,37.57908833,126.986276,서울특별시 종로구 계동 105,02-2133-1371,월요일-금요일 9:00-18:00 / 토요일-일요일 09:00-17:00
북촌박물관,전시/기념관,37.58043233,126.984767,서울특별시 종로구 가회동 170-4,02-766-8402,"평일 10:00-18:00,토요일 10:00-18:00"
북촌생활사박물관,전시/기념관,37.58449548,126.982997,서울특별시 종로구 삼청동 35-177,02-736-3957,"화-일 10:00-18:00,동절기 11:00-17:00"
북촌전망대,영화/연극/공연,37.58308342,126.982779,서울특별시 종로구 삼청동 35-62,0507-1311-5688,11:00-19:30
북촌전통공예체험관,영화/연극/공연,37.58252379,126.986029,서울특별시 종로구 가회동 11-91,02-741-2148,"매일 10:00-18:00 3-11월,매일 10:00-17:00 11-2월"
북촌창우극장,영화/연극/공연,37.5789075,126.98886,서울특별시 종로구 원서동 158-1,070-8098-4416,정보없음
북촌한옥역사관,전시/기념관,37.5823065,126.987062,서울특별시 종로구 계동 25,02-747-8630,10:00-18:00
북한산공원서울유아숲체험현장,관광지,37.62108049,127.008412,서울특별시 강북구 미아동 산 108-19,02-901-6927,상시개방
북한산캠핑장,관광지,37.65015822,126.937826,서울특별시 은평구 진관동 330-14,02-381-3947,정보없음
분재박물관,전시/기념관,37.45313676,127.075803,서울특별시 서초구 내곡동 1-376,02-577-0002,"09:00-19:00, 일요일 12:00-19:00"
불과얼음,영화/연극/공연,37.54942741,126.909358,서울특별시 마포구 합정동 393-18,02-596-5518,정보없음
불교미술전시관,전시/기념관,37.57442907,126.982615,서울특별시 종로구 견지동 39-7,02-734-8369,정보없음
불교중앙박물관,전시/기념관,37.57389314,126.981882,서울특별시 종로구 견지동 46-1,02-2011-1960,"하절기(3월-10월) AM 10:00-PM 18:00,동절기(11월-2월) AM 10:00-PM 17:00"
불암산공원서울유아숲체험장,관광지,37.64335737,127.10885,서울특별시 노원구 공릉동 26-21,02-2116-0545,정보없음
불암산공원서울유아숲체험현장,관광지,37.65442716,127.082718,서울특별시 노원구 중계동 산 95-1,02-2116-0545,정보없음
불암산나비정원,전시/기념관,37.65548005,127.080632,서울특별시 노원구 중계동 산 42-3,02-936-0900,10:00-17:00 (입장마감 16:30)
불암산산림치유센터,관광지,37.65407051,127.081094,서울특별시 노원구 중계동 산 95-2,02-2116-0545,10:00-16:00
불암산생태학습관,전시/기념관,37.65622302,127.080337,서울특별시 노원구 중계동 산 40-4,02-2116-2725,정보없음
불암산스포츠타운 축구장,대형체육시설,37.63877923,127.08324,서울특별시 노원구 공릉동 141,02-2289-6855,"06:00-22:00, 기상상황에 따라 조명 변동"
불암산종합스타디움야구장,대형체육시설,37.63877923,127.08324,서울특별시 노원구 공릉동 141,02-2289-6858,06:00-22:00
브라질문화원,영화/연극/공연,37.46803806,126.959294,서울특별시 관악구 신림동 산 56-1,,월-금 : 10:00-19:00 (점심시간 12:00-13:00 휴관)
브릭스씨어터,영화/연극/공연,37.5809598,127.003708,서울특별시 종로구 동숭동 1-93,0507-1379-8281,정보없음
브이매직,영화/연극/공연,37.55469418,127.077783,서울특별시 광진구 군자동 1-10,02-443-7765,정보없음
브이센터,전시/기념관,37.56539313,127.147715,서울특별시 강동구 고덕동 402-6,070-4278-8470,"토,일 11:00-18:00 (17:00 입장마감)"
블라인드아트홀,영화/연극/공연,37.53766929,127.079897,서울특별시 광진구 자양동 774-23,0507-1321-2182,00:00-24:00
블랙박스공공,영화/연극/공연,37.583699,127.003717,서울특별시 종로구 동숭동 1-5,1577-0369,"평일(월-금) 9:00-20:00, 주말 및 공휴일 10:00-18:00"
블랙아트,전시/기념관,37.56200053,126.986564,서울특별시 중구 충무로2가 11-1,02-2201-4568,평일 10:00-21:30 티켓마감 20:30
블러섬랜드,영화/연극/공연,37.5452785,126.926324,서울특별시 마포구 상수동 271,0507-1422-8599,평일 02:00-24:00
블루스퀘어,영화/연극/공연,37.54086944,127.002485,서울특별시 용산구 한남동 727-56,1544-1591,정보없음
블루스퀘어신한카드홀,영화/연극/공연,37.54086944,127.002485,서울특별시 용산구 한남동 727-56,1544-1591,정보없음
비볼드커뮤니케이션즈,전시/기념관,37.5725433,126.998643,서울특별시 종로구 인의동 28-25,02-2276-0811,정보없음
비젼골프클럽,대형체육시설,37.64825463,127.078487,서울특별시 노원구 중계동 364-14,02-938-7229,06:00-22:00
빛의시어터,전시/기념관,37.55862873,127.111707,서울특별시 광진구 광장동 22-1,1670-2827,"일-목 10:00-19:00, 금-토 10:00-20:00"
사각사각플레이스,영화/연극/공연,37.51762763,127.086736,서울특별시 송파구 잠실동 1-1,02-420-1160,정보없음
